Acaricomes phytoseiuli
Acetobacter aceti
Acetobacter cerevisiae
Acetobacter pasteurianus
Achromobacter piechaudii
Achromobacter ruhlandii
Achromobacter xylosoxidans
Acidaminobacter hydrogenoformans
Acidimicrobium ferrooxidans
Acidiphilium cryptum
Acidomonas methanolica
Acidothermus cellulolyticus
Acidovorax anthurii
Acidovorax defluvii
Acidovorax delafieldii
Acidovorax facilis
Acidovorax konjaci
Acidovorax temperans
Acidovorax valerianellae
Acinetobacter calcoaceticus
Acrocarpospora corrugata
Actinoallomurus amamiensis
Actinoallomurus luridus
Actinoallomurus purpureus
Actinoallomurus yoronensis
Actinoalloteichus cyanogriseus
Actinobacillus lignieresii
Actinocatenispora thailandica
Actinomadura madurae
Actinomyces hyovaginalis
Actinomycetospora chiangmaiensis
Actinoplanes digitatis
Actinoplanes philippinensis
Actinoplanes utahensis
Actinopolymorpha rutila
Actinopolymorpha singaporensis
Actinopolyspora halophila
Actinotalea fermentans
Adhaeribacter aquaticus
Advenella incenata
Advenella kashmirensis
Advenella mimigardefordensis
Aequorivita antarctica
Aeribacillus pallidus
Aeriscardovia aeriphila
Aeromicrobium alkaliterrae
Aeromicrobium erythreum
Aeromicrobium fastidiosum
Aeromicrobium marinum
Aeromonas hydrophila
Aeromonas jandaei
Aeromonas salmonicida
Aestuariibacter halophilus
Aestuariibacter salexigens
Afipia clevelandensis
Afipia felis
Agarivorans albus
Aggregatibacter actinomycetemcomitans
Agreia bicolorata
Agreia pratensis
Agrobacterium tumefaciens
Agrococcus baldri
Agrococcus casei
Agrococcus citreus
Agrococcus jejuensis
Agrococcus jenensis
Agromyces albus
Agromyces mediolanus
Agromyces ramosus
Ahrensia kielensis
Albidovulum inexpectatum
Alcaligenes faecalis
Alcanivorax borkumensis
Alcanivorax venustensis
Algibacter lectus
Algicola bacteriolytica
Algoriphagus alkaliphilus
Algoriphagus antarcticus
Algoriphagus aquimarinus
Algoriphagus boritolerans
Algoriphagus chordae
Algoriphagus halophilus
Algoriphagus hitonicola
Algoriphagus locisalis
Algoriphagus mannitolivorans
Algoriphagus marincola
Algoriphagus ornithinivorans
Algoriphagus ratkowskyi
Algoriphagus terrigena
Algoriphagus vanfongensis
Algoriphagus winogradskyi
Alicycliphilus denitrificans
Alicyclobacillus acidocaldarius
Aliiroseovarius crassostreae
Aliivibrio fischeri
Aliivibrio logei
Alishewanella fetalis
Alistipes putredinis
Alkalibacillus filiformis
Alkalibacillus haloalkaliphilus
Alkalibacillus salilacus
Alkalimonas amylolytica
Alkalimonas collagenimarina
Alkaliphilus crotonatoxidans
Alkaliphilus transvaalensis
Allochromatium minutissimum
Allochromatium renukae
Allochromatium vinosum
Allochromatium warmingii
Altererythrobacter epoxidivorans
Altererythrobacter indicus
Altererythrobacter luteolus
Alteromonas macleodii
Alteromonas marina
Alteromonas stellipolaris
Alysiella crassa
Alysiella filiformis
Amaricoccus kaplicensis
