Current (Our) Label,NCBI Taxdump closest fuzzy-match label,Edit distance,NCBI Taxonomy number,Manual checking,Current accepted name,
Acrinomyces suimasmidis,Actinomyces suimastitidis,4,121163,CORRECT,,
Actinaurispora siamensis,Plantactinospora siamensis,5,555372,CORRECT,,
Actinobaculum urinale,Actinotignum urinale,5,190146,CORRECT,,
Allorhizobium undicola,Rhizobium undicola,5,78527,CORRECT,,
Arcobacler crvaeroplzilzts,Arcobacter cryaerophilus,6,28198,CORRECT,,
Aurantimonas altamirensis,Aureimonas altamirensis,3,370622,CORRECT,,
Aureobacterium liquefaciens,Microbacterium liquefaciens,3,33918,CORRECT,,
Azospirillum irakense,Niveispirillum irakense,3,34011,CORRECT,,
Azospirlllum amazonense,Nitrospirillum amazonense,3,28077,CORRECT,,
Azospirlllum larglmoblle,Azospirillum largimobile,3,52761,CORRECT,,
Bacillus agaraclhaerens,[Bacillus] agaradhaerens,3,76935,CORRECT,,
Bacillus patagnrtiertsis,Bacillus patagoniensis,5,228576,CORRECT,,
Bacillus veclderi,[Bacillus] vedderi,3,38282,CORRECT,,
Bacteroicles fragflis,Bacteroides fragilis,3,817,CORRECT,,
Bacteroides acidifizcims,Bacteroides acidifaciens,4,85831,CORRECT,,
Bacteroides splanchnicus,Odoribacter splanchnicus,6,28118,CORRECT,,
Bacteroides zmzformis,Bacteroides uniformis,3,820,CORRECT,,
Belliella bamca,Belliella baltica,3,232259,CORRECT,,
Beutenbergia cavemosa,Beutenbergia cavernae,3,84757,CORRECT,,
Blasfobatms malaysiensfs,Blastobotrys malaysiensis,5,378047,CORRECT,,
Blastomonas ursincola,Sphingomonas ursincola,5,56361,CORRECT,,
Brachymonas denitrmcans,Brachymonas denitrificans,3,28220,CORRECT,,
Caharamator auslrahbus,Caloramator australicus,6,515264,CORRECT,,
Candida lignohabitans,Sugiyamaella lignohabitans,5,796027,CORRECT,,
Candida paludigena,Sugiyamaella paludigena,5,45575,CORRECT,,
