Escherichia coli=25419
Bacillus subtilis=131238
Uncultured bacterium=null
Flavobacterium aquatile=null
Halobacillus halophilus=null
Gracilibacillus halotolerans=16982480
Pseudomonas aeruginosa=31856
Paenibacillus polymyxa=1949025
Flexibacter flexilis=15809789
Gelidibacter algens=16982233
Salegentibacter salegens=null
Marinobacter hydrocarbonoclasticus=6764460
Alteromonas macleodii=4736627
Mesonia algae=null
Cytophaga hutchinsonii=null
Sphingomonas paucimobilis=7576791
Formosa algae=null
Cyclobacterium marinum=null
Psychroflexus torquis=16988834
Terrabacter tumescens=null
Sphingobacterium spiritivorum=null
Sagittula stellata=16992371
Brevibacillus brevis=null
Stenotrophomonas maltophilia=142705
Leisingera methylohalidivorans=null
Octadecabacter arcticus=null
Bacteroides fragilis=221817
Filobacillus milosensis=null
Flectobacillus major=15809775
Jannaschia helgolandensis=null
Lentibacillus salicampi=18345921
Xanthomonas campestris=3753551
Ruegeria atlantica=null
Shewanella putrefaciens=7495722
Psychroserpens burtonensis=16988839
Lysobacter enzymogenes=null
Tenacibaculum maritimum=null
Sulfitobacter pontiacus=null
Virgibacillus marismortui=null
Cellulomonas flavigena=null
Virgibacillus proomii=18395437
Gracilibacillus dipsosauri=null
Leifsonia aquatica=null
Halobacillus trueperi=16982660
Luteimonas mephitis=16992046
Persicobacter diffluens=null
Aeromicrobium erythreum=null
Paracoccus denitrificans=150790
Ochrobactrum anthropi=16986776
Runella slithyformis=null
Halobacillus litoralis=16982656
Phyllobacterium myrsinacearum=16988049
Nocardioides albus=null
Oceanicola granulosus=null
Virgibacillus pantothenticus=null
Xylella fastidiosa=3019529
Microscilla marina=null
Pseudoalteromonas haloplanktis=7254484
Microbulbifer hydrolyticus=16985675
Subtercola boreus=null
Oceanobacillus iheyensis=16986730
Ketogulonicigenium vulgare=null
Paraliobacillus ryukyuensis=null
Methylobacterium organophilum=null
Polaribacter filamentus=16977852
Okibacterium fritillariae=null
Loktanella salsilacus=null
Methylocystis parvus=null
Cellulosimicrobium cellulans=null
Roseobacter litoralis=16992322
Sphingobium yanoikuyae=null
Rhodospirillum rubrum=24303
Staleya guttiformis=null
Halobacillus salinus=null
Methylosinus trichosporium=null
Thalassobius mediterraneus=null
Brucella melitensis=3512031
Belliella baltica=null
Vibrio cholerae=160821
Rhodovulum sulfidophilum=null
Haloferax volcanii=16982678
Frateuria aurantia=5493875
Dyadobacter fermentans=null
Kordia algicida=null
Clostridium butyricum=2622044
Roseisalinus antarcticus=null
Nereida ignava=null
Chryseobacterium indologenes=null
