Filobacillus milosensis=null
Terrabacter tumescens=null
Flexibacter flexilis=15809789
Cyclobacterium marinum=null
Octadecabacter arcticus=null
Sagittula stellata=16992371
Lentibacillus salicampi=18345921
Uncultured bacterium=null
Brevibacillus brevis=null
Flectobacillus major=15809775
Escherichia coli=25419
Psychroflexus torquis=16988834
Pseudomonas aeruginosa=31856
Formosa algae=null
Gelidibacter algens=16982233
Salegentibacter salegens=null
Bacteroides fragilis=221817
Bacillus subtilis=131238
Halobacillus halophilus=null
Sphingobacterium spiritivorum=null
Paenibacillus polymyxa=1949025
Flavobacterium aquatile=null
Gracilibacillus halotolerans=16982480
Stenotrophomonas maltophilia=142705
Sphingomonas paucimobilis=7576791
Jannaschia helgolandensis=null
Mesonia algae=null
Cytophaga hutchinsonii=null
Marinobacter hydrocarbonoclasticus=6764460
Alteromonas macleodii=4736627
Leisingera methylohalidivorans=null
